Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
472025,Why I Am Not a Christian and Other Essays on Religion and Related Subjects,Bertrand Russell,"Russell, Bertrand",Paul  Edwards,"=""0671203231""","=""9780671203238""",0,4.01,Touchstone,Paperback,266,1967,1957,,2019/03/11,to-read,to-read (#47),to-read,,,,0,0
33600,Shantaram,Gregory David Roberts,"Roberts, Gregory David",,"=""192076920X""","=""9781920769208""",0,4.28,Scribe,Paperback,936,2004,2003,,2019/03/03,to-read,to-read (#46),to-read,,,,0,0
38820046,21 Lessons for the 21st Century,Yuval Noah Harari,"Harari, Yuval Noah",,"=""0525512179""","=""9780525512172""",0,4.16,Random House,Hardcover,372,2018,2018,,2019/02/21,to-read,to-read (#45),to-read,,,,0,0
11721966,Good Strategy Bad Strategy: The Difference and Why It Matters,Richard P. Rumelt,"Rumelt, Richard P.",,"=""0307886255""","=""9780307886255""",0,4.13,Crown Business,Unknown Binding,320,2011,2011,,2019/02/21,to-read,to-read (#44),to-read,,,,0,0
23316532,Desperate Characters,Paula Fox,"Fox, Paula",Jonathan Franzen,"=""0393351106""","=""9780393351101""",0,3.52,W. W. Norton & Company,Paperback,192,2015,1970,,2019/02/16,to-read,to-read (#43),to-read,,,,0,0
685135,The Great Sex Divide: A Study of Male-Female Differences,Glenn D. Wilson,"Wilson, Glenn D.",,"=""187846504X""","=""9781878465047""",0,4.43,Scott Townsend Pub,Paperback,160,1992,1989,,2019/02/15,to-read,to-read (#42),to-read,,,,0,0
24280,Les Misérables,Victor Hugo,"Hugo, Victor","Norman MacAfee, Charles E. Wilbour, Lee Fahnestock, Isabel Florence Hapgood","=""0451525264""","=""9780451525260""",0,4.21,Penguin,Mass Market Paperback,1463,1987,1862,,2019/01/27,to-read,to-read (#38),to-read,,,,0,0
154126,The Discovery of India,Jawaharlal Nehru,"Nehru, Jawaharlal",,"=""0143031031""","=""9780143031031""",0,4.09,Penguin Random House,Paperback,656,2004,1946,,2019/01/27,to-read,to-read (#33),to-read,,,,0,0
19736170,The Business Book: Big Ideas Simply Explained,Sam Atkinson,"Atkinson, Sam",,"=""1465415858""","=""9781465415851""",0,4.14,DK Publishing,Hardcover,352,2014,2014,,2019/01/27,to-read,to-read (#31),to-read,,,,0,0
97411,Letters from a Stoic,Seneca,"Seneca, Seneca",,"=""0140442103""","=""9780140442106""",0,4.33,Penguin Books,Paperback,254,2004,64,,2019/01/27,to-read,to-read (#30),to-read,,,,0,0
25899336,When Breath Becomes Air,Paul Kalanithi,"Kalanithi, Paul",Abraham   Verghese,"=""0812988418""","=""9780812988413""",0,4.41,Random House,Kindle Edition,208,2016,2016,,2019/01/27,to-read,to-read (#29),to-read,,,,0,0
23690483,"Stoic Six Pack (Illustrated): Meditations of Marcus Aurelius, Golden Sayings, Fragments and Discourses of Epictetus, Letters from a Stoic and The Enchiridion",Marcus Aurelius,"Aurelius, Marcus","Epictetus, Seneca, John Lord, George Long, Hastings Crossley, Richard Mott Gummere, P.E. Matheson","=""""","=""""",0,4.40,,Kindle Edition,520,2014,2014,,2019/01/27,to-read,to-read (#28),to-read,,,,0,0
2467557,The Essential Marcus Aurelius (Tarcher Cornerstone Editions),Marcus Aurelius,"Aurelius, Marcus","Jacob Needleman, John Piazza","=""1585426172""","=""9781585426171""",0,4.39,Tarcher,Paperback,111,2008,180,,2019/01/26,to-read,to-read (#27),to-read,,,,0,0
113205,Heart of a Dog,Mikhail Bulgakov,"Bulgakov, Mikhail","Mirra Ginsburg, Михаил Афанасьевич Булгаков, Michail Bulgakov","=""0802150594""","=""9780802150592""",0,4.09,Grove Press,Paperback,123,1994,1925,,2019/01/26,to-read,to-read (#26),to-read,,,,0,0
35848245,UP 65,Nikhil Sachan,"Sachan, Nikhil",,"=""9386224968""","=""9789386224965""",0,4.02,Hind Yugm Westland,Paperback,160,2017,,,2019/01/26,to-read,to-read (#25),to-read,,,,0,0
